DATE,REG,FLTS,YEAR,ROLL_MED_7
2022-10-19,BRA,4975,2022,4779
2022-10-20,BRA,5093,2022,4779
2022-10-21,BRA,5205,2022,4872
2022-10-22,BRA,4374,2022,4975
2022-10-23,BRA,4079,2022,5093
2022-10-24,BRA,4872,2022,5139
2022-10-25,BRA,5139,2022,5139
2022-10-26,BRA,5445,2022,5139
2022-10-27,BRA,5418,2022,5139
2022-10-28,BRA,5563,2022,5139
2022-10-29,BRA,4088,2022,4327
2022-10-30,BRA,4006,2022,4203
2022-10-31,BRA,4203,2022,4203
2022-11-01,BRA,4327,2022,4203
2022-11-02,BRA,3864,2022,4327
2022-11-03,BRA,4852,2022,4327
2022-11-04,BRA,5182,2022,4338
2022-11-05,BRA,4338,2022,4851
2022-11-06,BRA,4220,2022,4852
2022-11-07,BRA,4851,2022,5182
2022-11-08,BRA,5234,2022,5234
2022-11-09,BRA,5281,2022,5234
2022-11-10,BRA,5618,2022,5234
2022-11-11,BRA,5607,2022,5234
2022-11-12,BRA,4631,2022,4737
2022-11-13,BRA,3461,2022,4737
2022-11-14,BRA,3628,2022,4737
2022-11-15,BRA,4737,2022,4737
2022-11-16,BRA,5066,2022,4737
2022-11-17,BRA,5196,2022,4737
2022-11-18,BRA,5544,2022,4814
2022-11-19,BRA,4430,2022,4932
2022-11-20,BRA,4208,2022,4834
2022-11-21,BRA,4814,2022,4814
2022-11-22,BRA,4932,2022,4814
2022-11-23,BRA,4834,2022,4814
2022-11-24,BRA,4631,2022,4814
2022-11-25,BRA,5255,2022,4631
2022-11-26,BRA,4031,2022,4631
2022-11-27,BRA,3895,2022,4631
2022-11-28,BRA,4125,2022,4720
2022-11-29,BRA,4720,2022,4720
2022-11-30,BRA,4785,2022,4720
2022-12-01,BRA,5231,2022,4720
2022-12-02,BRA,5008,2022,4720
2022-12-03,BRA,4084,2022,4660
2022-12-04,BRA,3949,2022,4660
2022-12-05,BRA,4400,2022,4660
2022-12-06,BRA,4660,2022,4660
2022-12-07,BRA,5121,2022,4660
2022-12-08,BRA,5639,2022,4660
2022-12-09,BRA,5032,2022,4746
2022-12-10,BRA,4457,2022,4746
2022-12-11,BRA,4256,2022,4746
2022-12-12,BRA,4746,2022,4746
2022-12-13,BRA,4498,2022,4746
2022-12-14,BRA,5354,2022,4746
2022-12-15,BRA,5664,2022,4746
2022-12-16,BRA,5580,2022,4711
2022-12-17,BRA,4711,2022,4711
2022-12-18,BRA,3898,2022,4711
2022-12-19,BRA,4568,2022,4711
2022-12-20,BRA,4606,2022,4711
2022-12-21,BRA,4958,2022,4606
2022-12-22,BRA,5317,2022,4606
2022-12-23,BRA,5245,2022,4958
2022-12-24,BRA,3378,2022,5058
2022-12-25,BRA,2701,2022,5058
2022-12-26,BRA,5058,2022,4819
2022-12-27,BRA,5227,2022,4763
2022-12-28,BRA,4819,2022,4763
2022-12-29,BRA,4763,2022,4763
2022-12-30,BRA,4371,2022,4763
2022-12-31,BRA,3158,2022,4763
2023-01-01,BRA,2928,2023,4541
2023-01-02,BRA,4848,2023,4541
2023-01-03,BRA,4906,2023,4638
2023-01-04,BRA,4541,2023,4638
2023-01-05,BRA,4829,2023,4638
2023-01-06,BRA,4638,2023,4638
2023-01-07,BRA,3968,2023,4638
2023-01-08,BRA,4140,2023,4695
2023-01-09,BRA,4695,2023,4695
2023-01-10,BRA,4713,2023,4713
2023-01-11,BRA,4746,2023,4713
2023-01-12,BRA,5052,2023,4713
2023-01-13,BRA,5067,2023,4746
2023-01-14,BRA,4251,2023,4865
2023-01-15,BRA,4193,2023,4945
2023-01-16,BRA,4865,2023,4945
2023-01-17,BRA,4945,2023,4945
2023-01-18,BRA,4956,2023,4945
2023-01-19,BRA,5123,2023,4945
2023-01-20,BRA,5197,2023,4945
2023-01-21,BRA,4347,2023,4871
2023-01-22,BRA,4144,2023,4871
