APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-16]","(-16,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2019-01-26,ARR,59999,5477,0,0,1,0,1,0,2,1,4,5,14,12,12,6,13,9,7,7,4,4,2,3,0,0,2,26
SBBR,2019-01-26,DEP,60102,5513,0,0,0,0,0,1,0,0,0,0,2,17,29,18,10,6,6,9,6,8,3,4,2,0,0,16
SBBR,2019-01-27,ARR,59999,5477,0,0,0,0,0,1,6,0,11,15,23,25,18,12,6,3,3,1,5,0,1,1,1,3,1,2
SBBR,2019-01-27,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,5,35,30,23,19,8,4,4,4,2,2,0,1,0,2,4
SBBR,2019-01-28,ARR,59999,5477,0,0,0,0,0,0,1,5,13,19,35,27,30,17,15,9,2,2,2,0,3,1,2,0,2,2
SBBR,2019-01-28,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,8,36,64,26,19,10,7,6,4,2,2,2,3,1,0,1
SBBR,2019-01-29,ARR,59999,5477,0,0,0,0,0,3,1,10,22,21,42,20,23,22,8,6,1,4,1,3,1,0,0,1,0,2
SBBR,2019-01-29,DEP,60102,5513,0,0,0,0,0,0,0,0,0,0,13,56,53,23,19,6,3,6,3,2,2,0,0,1,0,3
SBBR,2019-01-30,ARR,59999,5477,1,0,0,0,1,0,5,5,19,24,41,32,20,10,8,7,0,6,4,2,3,0,3,0,0,3
SBBR,2019-01-30,DEP,60102,5513,1,0,0,0,0,0,0,0,0,0,11,37,52,29,19,14,11,4,1,2,3,3,1,1,1,2
SBBR,2019-01-31,ARR,59999,5477,0,0,0,0,0,1,1,7,12,20,35,29,27,16,6,12,5,8,3,3,1,0,0,0,0,3
SBBR,2019-01-31,DEP,60102,5513,0,0,0,0,0,0,1,0,0,0,8,28,56,34,18,16,10,4,3,2,4,1,2,0,0,3
SBBR,2019-02-01,ARR,59999,4829,0,0,0,0,0,0,2,6,18,17,41,30,19,11,10,6,4,7,3,1,4,1,0,1,0,4
