ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
EDDM,DEP,2024-04-11,470,4,5753,5011.4000000000015,741.6000000000001
EDDM,DEP,2024-04-12,477,4,5377,4593.199999999999,783.8
EDDM,DEP,2024-04-13,433,2,4771,4140.4,630.6
EDDM,DEP,2024-04-14,447,1,5138,4283.4000000000005,854.6000000000001
EDDM,DEP,2024-04-15,456,1,5434,4383.6,1050.4
EDDM,DEP,2024-04-16,463,5,5427,4471.399999999999,955.6
EDDM,DEP,2024-04-17,476,4,5887,4585.4,1301.6
EDDM,DEP,2024-04-18,494,4,6811,4776.200000000001,2034.8
EDDM,DEP,2024-04-19,469,4,5698,4518.4,1179.6
EDDM,DEP,2024-04-20,437,2,5312,4152.6,1159.3999999999996
EDDM,DEP,2024-04-21,456,1,5781,4532.6,1248.4
EDDM,DEP,2024-04-22,473,2,6038,5109.799999999999,928.2000000000002
EDDM,DEP,2024-04-23,443,0,5953,4692.600000000001,1260.4
EDDM,DEP,2024-04-24,472,3,5865,4587.799999999999,1277.1999999999998
EDDM,DEP,2024-04-25,452,6,5668,4411.2,1256.8
EDDM,DEP,2024-04-26,485,2,6514,5254.8,1259.2
EDDM,DEP,2024-04-27,448,3,5929,4945.4,983.6
EDDM,DEP,2024-04-28,450,6,5489,4771,718
EDDM,DEP,2024-04-29,475,8,5907,4999.200000000001,907.8
EDDM,DEP,2024-04-30,468,10,5944,5099.999999999999,844.0000000000001
EDDM,DEP,2024-05-01,473,5,6173,5170.800000000001,1002.2000000000004
EDDM,DEP,2024-05-02,458,7,5859,4814.200000000001,1044.8000000000002
EDDM,DEP,2024-05-03,478,5,5552,4646.8,905.2
EDDM,DEP,2024-05-04,458,6,6078,5100.2,977.8000000000002
EDDM,DEP,2024-05-05,473,2,5567,4660.799999999999,906.2000000000002
EDDM,DEP,2024-05-06,472,3,5621,4590.2,1030.8
EDDM,DEP,2024-05-07,483,3,5654,4849.799999999999,804.1999999999999
EDDM,DEP,2024-05-08,490,1,6547,5027.000000000001,1520
EDDM,DEP,2024-05-09,474,1,6018,5154.200000000001,863.8000000000001
EDDM,DEP,2024-05-10,483,3,6123,5331.200000000002,791.8
EDDM,DEP,2024-05-11,450,8,5758,5012.600000000001,745.4000000000001
EDDM,DEP,2024-05-12,481,4,6239,5276.000000000001,963.0000000000002
EDDM,DEP,2024-05-13,490,4,6382,5306.799999999999,1075.2
EDDM,DEP,2024-05-14,489,9,6221,5308.8,912.2
EDDM,DEP,2024-05-15,502,4,6625,5430,1194.9999999999998
EDDM,DEP,2024-05-16,493,5,6467,5247.600000000001,1219.4
EDDM,DEP,2024-05-17,521,3,6331,5050,1281
EDDM,DEP,2024-05-18,469,4,6580,4745.8,1834.2
EDDM,DEP,2024-05-19,480,3,5879,4635,1243.9999999999998
EDDM,DEP,2024-05-20,494,4,6309,5449,860.0000000000003
EDDM,DEP,2024-05-21,500,3,6236,4886,1350
EDDM,DEP,2024-05-22,496,3,6241,4888.4000000000005,1352.6
EDDM,DEP,2024-05-23,476,4,6212,4911.800000000001,1300.2000000000005
EDDM,DEP,2024-05-24,504,2,6734,4924,1810
EDDM,DEP,2024-05-25,472,4,5630,4705.4000000000005,924.6
EDDM,DEP,2024-05-26,481,0,6163,5195.600000000001,967.4
EDDM,DEP,2024-05-27,469,4,6244,4825.200000000001,1418.8000000000002
EDDM,DEP,2024-05-28,478,4,5720,4693,1027
EDDM,DEP,2024-05-29,494,3,5832,4797.4000000000005,1034.6
EDDM,DEP,2024-05-30,483,4,6045,4656.200000000001,1388.8
EDDM,DEP,2024-05-31,510,2,6590,4972.2,1617.7999999999995
EDDM,DEP,2024-06-01,467,4,6660,4483,2177
EDDM,DEP,2024-06-02,489,6,6257,4745,1511.9999999999998
EDDM,DEP,2024-06-03,498,8,6769,5132.200000000001,1636.8000000000002
EDDM,DEP,2024-06-04,507,7,6009,4954.4,1054.6
EDDM,DEP,2024-06-05,483,10,5773,4742,1031
EDDM,DEP,2024-06-06,483,6,6691,4755.6,1935.4
EDDM,DEP,2024-06-07,510,4,6211,4972.6,1238.4
EDDM,DEP,2024-06-08,470,2,5806,4471.799999999999,1334.1999999999998
EDDM,DEP,2024-06-09,462,1,5641,4446.6,1194.4
EDDM,DEP,2024-06-10,503,5,6106,4894.5999999999995,1211.3999999999996
EDDM,DEP,2024-06-11,498,7,5852,4841.799999999999,1010.2
EDDM,DEP,2024-06-12,511,5,6559,5405.000000000001,1154.0000000000002
EDDM,DEP,2024-06-13,516,2,6211,5027.4000000000005,1183.6
EDDM,DEP,2024-06-14,514,15,6291,5130.4,1160.6
EDDM,DEP,2024-06-15,505,7,5901,4863.399999999999,1037.6
EDDM,DEP,2024-06-16,486,3,5898,5024.000000000001,874.0000000000002
EDDM,DEP,2024-06-17,514,22,6702,4974.2,1727.7999999999995
EDDM,DEP,2024-06-18,490,5,6601,5262,1339
EDDM,DEP,2024-06-19,503,7,6199,5215.200000000001,983.7999999999998
EDDM,DEP,2024-06-20,532,16,7050,5663.000000000001,1387.0000000000002
EDDM,DEP,2024-06-21,476,3,7751,4663.6,3087.3999999999996
EDDM,DEP,2024-06-22,454,4,5451,4449,1002
EDDM,DEP,2024-06-23,478,7,6195,5178.6,1016.4000000000002
EDDM,DEP,2024-06-24,501,3,6367,5499.799999999999,867.2000000000002
EDDM,DEP,2024-06-25,492,21,6550,5345,1205
EDDM,DEP,2024-06-26,452,5,5920,4449,1471
EDDM,DEP,2024-06-27,470,5,6133,4644.4,1488.6
EDDM,DEP,2024-06-28,482,7,5723,4657.8,1065.2
EDDM,DEP,2024-06-29,458,5,6025,5143.000000000001,882.0000000000003
EDDM,DEP,2024-06-30,463,3,5725,4445.4,1279.6
EDDM,DEP,2024-07-01,497,6,6398,4788.2,1609.8000000000002
EDDM,DEP,2024-07-02,491,20,5875,4734.4,1140.6
EDDM,DEP,2024-07-03,509,5,6266,5017.800000000001,1248.2
EDDM,DEP,2024-07-04,501,7,6402,4895.4000000000005,1506.6
EDDM,DEP,2024-07-05,481,4,5685,4817.8,867.1999999999999
EDDM,DEP,2024-07-06,443,3,5834,4415.200000000001,1418.7999999999995
EDDM,DEP,2024-07-07,471,3,6069,5009.000000000001,1060
EDDM,DEP,2024-07-08,502,5,6515,5484.2,1030.8000000000002
EDDM,DEP,2024-07-09,486,12,6329,5288.2,1040.8000000000002
EDDM,DEP,2024-07-10,529,9,6813,5102.200000000001,1710.8000000000002
EDDM,DEP,2024-07-11,484,5,5884,4715.2,1168.8
EDDM,DEP,2024-07-12,459,4,6074,4438.200000000001,1635.8000000000002
EDDM,DEP,2024-07-13,447,2,5201,4300.4,900.6
EDDM,DEP,2024-07-14,477,2,5650,4605.8,1044.2
EDDM,DEP,2024-07-15,484,2,6278,5310.6,967.4
EDDM,DEP,2024-07-16,476,3,5670,4642.4,1027.6
EDDM,DEP,2024-07-17,498,3,5829,5011.200000000001,817.8
EDDM,DEP,2024-07-18,490,9,6522,5369.4000000000005,1152.6000000000004
EDDM,DEP,2024-07-19,452,6,6133,4947.200000000001,1185.8000000000004
EDDM,DEP,2024-07-20,426,4,5413,4489.000000000002,924.0000000000005
EDDM,DEP,2024-07-21,435,4,5966,4596.000000000001,1370.0000000000002
EDDM,DEP,2024-07-22,474,3,6152,4626.2,1525.7999999999995
EDDM,DEP,2024-07-23,474,5,6056,4614.5999999999995,1441.4
EDDM,DEP,2024-07-24,497,2,5913,4832.6,1080.4
EDDM,DEP,2024-07-25,505,8,7023,5269.200000000001,1753.8
EDDM,DEP,2024-07-26,496,4,5988,4840.2,1147.8
EDDM,DEP,2024-07-27,470,6,5519,4514,1005
EDDM,DEP,2024-07-28,485,6,6219,4808.799999999998,1410.1999999999998
EDDM,DEP,2024-07-29,507,6,6938,5589.999999999999,1347.9999999999998
EDDM,DEP,2024-07-30,486,5,6305,5383.2,921.8
EDDM,DEP,2024-07-31,491,3,6730,5193.600000000001,1536.4000000000003
EDDM,DEP,2024-08-01,492,2,6085,4772,1312.9999999999998
EDDM,DEP,2024-08-02,502,5,6246,5063.4,1182.6
EDDM,DEP,2024-08-03,478,5,5774,4572.5999999999995,1201.4
EDDM,DEP,2024-08-04,489,2,5855,4663.2,1191.8
EDDM,DEP,2024-08-05,505,2,6240,5006.4000000000005,1233.6
EDDM,DEP,2024-08-06,487,3,6260,5370.800000000002,889.2000000000002
EDDM,DEP,2024-08-07,498,3,6190,4908.4000000000005,1281.6000000000004
EDDM,DEP,2024-08-08,486,6,6035,4796.6,1238.4000000000003
EDDM,DEP,2024-08-09,508,2,6057,4919.4,1137.6
EDDM,DEP,2024-08-10,486,2,5755,4688.799999999999,1066.2
